"MAG","BIN"
"Acidobacteria_ANG_135","Abawaca2_293"
"Acidobacteria_ANG_139","MetaBAT_22"
"Acidobacteria_ANG_162","MetaBAT_26"
"Acidobacteria_ANG_172","MetaBAT_35"
"Acidobacteria_ANG_181","MetaBAT_29"
"Acidobacteria_ANG_218","Abawaca2_352"
"Acidobacteria_ANG_219","MetaBAT_53_sub"
"Acidobacteria_ANG_220","MetaBAT_73_sub"
"Acidobacteria_ANG_236","Abawaca2_356"
"Acidobacteria_ANG_254","Maxbin2_025_sub"
"Acidobacteria_ANG_25","MetaBAT_24"
"Acidobacteria_ANG_287","Maxbin2_013_sub"
"Acidobacteria_ANG_317","Abawaca2_464"
"Acidobacteria_ANG_332","Abawaca2_182"
"Acidobacteria_ANG_355","MetaBAT_23"
"Acidobacteria_ANG_356","Abawaca2_148"
"Acidobacteria_ANG_38","MetaBAT_27"
"Acidobacteria_ANG_421","MetaBAT_14"
"Acidobacteria_ANG_426","MetaBAT_48"
"Acidobacteria_ANG_441","MetaBAT_56"
"Acidobacteria_ANG_442","MetaBAT_14"
"Acidobacteria_ANG_44","MetaBAT_29"
"Acidobacteria_ANG_467","Abawaca2_55"
"Acidobacteria_ANG_468","Abawaca2_43"
"Acidobacteria_ANG_495","Maxbin2_086_sub"
"Acidobacteria_ANG_498","Maxbin2_017_sub"
"Acidobacteria_ANG_502","Maxbin2_067_sub"
"Acidobacteria_ANG_545","MetaBAT_43_sub"
"Acidobacteria_ANG_546","Abawaca2_512"
"Acidobacteria_ANG_54","Abawaca2_145_sub"
"Acidobacteria_ANG_56","MetaBAT_19"
"Acidobacteria_ANG_593","Abawaca2_47"
"Acidobacteria_ANG_597","MetaBAT_64"
"Acidobacteria_ANG_59","Abawaca2_302"
"Acidobacteria_ANG_668","MetaBAT_65_sub"
"Acidobacteria_ANG_70","MetaBAT_39_sub"
"Acidobacteria_ANG_72","MetaBAT_15_sub"
"Acidobacteria_ANG_74","Maxbin2_086_sub"
"Acidobacteria_ANG_77","MetaBAT_28_sub"
"Acidobacteria_ANG_811","Maxbin2_148_sub"
"Acidobacteria_ANG_812","MetaBAT_61"
"Acidobacteria_ANG_813","MetaBAT_91"
"Acidobacteria_ANG_96","Abawaca2_112"
"Acidobacteria_gp1_ANG_7","Abawaca2_189"
"Acidobacteria_gp5_ANG_22","Maxbin2_006"
"Acidobacteriales_ANG_491","MetaBAT_57"
"Acidobacteriales_ANG_547","MetaBAT_50"
"Actinobacteria_ANG_164","Maxbin2_135"
"Actinobacteria_ANG_182","MetaBAT_35"
"Actinobacteria_ANG_183","Maxbin2_145"
"Actinobacteria_ANG_184","MetaBAT_47"
"Actinobacteria_ANG_187","Maxbin2_109"
"Actinobacteria_ANG_191","MetaBAT_45_sub"
"Actinobacteria_ANG_192","Maxbin2_133"
"Actinobacteria_ANG_208","Abawaca2_31"
"Actinobacteria_ANG_237","Abawaca2_164"
"Actinobacteria_ANG_24","Abawaca2_240_sub"
"Actinobacteria_ANG_304","Abawaca2_259_sub"
"Actinobacteria_ANG_312","Abawaca2_55_sub"
"Actinobacteria_ANG_359","MetaBAT_47"
"Actinobacteria_ANG_378","Maxbin2_078"
"Actinobacteria_ANG_419","Maxbin2_105_sub"
"Actinobacteria_ANG_420","Abawaca2_8_sub"
"Actinobacteria_ANG_427","Maxbin2_158"
"Actinobacteria_ANG_474","Abawaca2_301"
"Actinobacteria_ANG_475","Abawaca2_263"
"Actinobacteria_ANG_47","MetaBAT_33"
"Actinobacteria_ANG_48","MetaBAT_25"
"Actinobacteria_ANG_504","Abawaca2_474"
"Actinobacteria_ANG_506","Maxbin2_057_sub"
"Actinobacteria_ANG_507","Abawaca2_131"
"Actinobacteria_ANG_556","Abawaca2_266_sub"
"Actinobacteria_ANG_557","MetaBAT_34_sub"
"Actinobacteria_ANG_558","MetaBAT_101_sub"
"Actinobacteria_ANG_559","MetaBAT_83"
"Actinobacteria_ANG_560","MetaBAT_25"
"Actinobacteria_ANG_562","Maxbin2_136_sub"
"Actinobacteria_ANG_600","Abawaca2_169"
"Actinobacteria_ANG_601","MetaBAT_62_sub"
"Actinobacteria_ANG_602","Abawaca2_202_sub"
"Actinobacteria_ANG_603","Maxbin2_102"
"Actinobacteria_ANG_604","Abawaca2_204"
"Actinobacteria_ANG_605","Abawaca2_366"
"Actinobacteria_ANG_606","Maxbin2_054"
"Actinobacteria_ANG_607","Maxbin2_092_sub"
"Actinobacteria_ANG_609","Maxbin2_072"
"Actinobacteria_ANG_610","MetaBAT_66_sub"
