"NAME","PHYLUM","CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"scaffold_1031","Pseudomonadota","Actinomycetia",0.788731859,0.87986602,0.676236153,0,0,0.834138045,0.770740707,0.797433608,0,0,0,0.917481877,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_103166","Undefined","Undefined",0.788731859,0.719849402,0.655493811,0.691163797,0,0,0.74073236,0.783952404,1.405861261,0,0,0.914816319,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_1045469","Pseudomonadota","Undefined",0.756737445,0.810617305,0,0.898046471,0.795193423,0.834458022,0.767682212,0,0,1.009099181,1.044823739,0.9345707,0.878451911,0.92839069,0,0,0,0.797532809,1.200677727,1.378529458,0,0,0,0.898825992
"scaffold_109599","Pseudomonadota","Actinomycetia",0.788731859,0.842224693,0,0,0,0.729891626,0.765794777,0.797433608,0,0,0,0.937377376,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_1110401","Undefined","Undefined",0.727371118,0.804920021,0,0.823843173,0,0.653875049,0.70508988,0.667924231,0,0.968497896,0,0,0.847628646,0.955138296,0,0.732193697,0.963858559,0.819832267,1.201901081,0,0,1.319506505,0,1.012984032
"scaffold_1151123","Pseudomonadota","GammaPseudomonadota",0.734608353,0.87986602,0,0.899434487,0.803184416,0.79411416,0.741985557,0.797433608,1.370049317,1.016725964,1.071169584,0.917884161,0.824420148,0.900176061,0.793123531,0.730169311,1.056544829,0.814045223,1.236482693,1.351247077,1.204196213,0,0,0
"scaffold_117091","Pseudomonadota","GammaPseudomonadota",0.788731859,0,0,0,0,0,0.692674636,0,0,0,0,0.799322657,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_11854","Pseudomonadota","AlphaPseudomonadota",0.788731859,0.849422129,0,0,0,0.644028909,0.767119115,0.762518211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_120369","Bacillota","Actinomycetia",0.788731859,0.688634443,0.767770651,0.800922553,0.637244403,0.773794429,0.72985144,0.762406575,1.488172267,0,0.962033722,0.716918281,0,0,0.668458492,0.607951576,0,0,0,0,1.124345462,0,0,0
"scaffold_121115","Pseudomonadota","AlphaPseudomonadota",0.773487461,0.659899515,0,0.85106154,0.790689527,0.825139712,0.732203672,0.651684188,0,0,1.050090937,0.933938247,0,0,0,0,0.822928791,0,0,0,0,0,0,0
"scaffold_1321","Actinomycetota","Actinomycetia",0.788731859,0.879232457,0,0,0,0,0.75711028,0.79302371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_1325308","Pseudomonadota","GammaPseudomonadota",0.604144482,0.7324492,0,0.728591154,0.811838255,0.838954391,0.738181416,0.682628943,0,0,1.047571521,0.898211045,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_13301","Pseudomonadota","Actinomycetia",0.788731859,0.87986602,0.703444533,0.821076785,0.757126318,0.843570668,0.770740707,0.797433608,0,0.97251027,1.088988899,0.937295294,0,0.794173618,0,0,0,0,0,0,0,0,0,0
"scaffold_1335513","Pseudomonadota","GammaPseudomonadota",0.613592011,0.782625925,0.761598213,0.815682715,0.808806179,0.82180295,0.715916778,0.783828298,1.517634527,0.856749746,1.099798522,0.926176326,0.814980227,0.866255941,0.805462459,0,0.880317832,0.708740492,0,0,1.18230041,1.082823593,1.071828685,0
"scaffold_1338419","Pseudomonadota","AlphaPseudomonadota",0.788731859,0.87986602,0.70708262,0.824012408,0.811838255,0.843570668,0.770740707,0.797433608,0,0,0.881953132,0.937878915,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_1343570","Pseudomonadota","AlphaPseudomonadota",0.683297581,0.786758504,0,0.718735775,0.760798315,0.752466086,0.681864444,0.741715013,0,0.848175755,0,0.921386491,0,0.80048336,0,0.658189813,0.915215738,0.69439517,0,0,0,0,1.118386269,0
"scaffold_1352847","Actinomycetota","Actinomycetia",0.788004917,0.87986602,0,0.899434487,0.811838255,0.842793183,0.770740707,0.797249867,0,1.005398923,1.105531873,0.937878915,0.884579486,1.02873657,0,0,0.980635083,0.868768026,1.434364193,1.540368791,0,0,1.400117378,1.1573354
"scaffold_1357650","Pseudomonadota","Undefined",0.636029241,0.679393022,0.735525386,0.877922333,0.811838255,0.792174872,0.609878661,0.716927345,1.681327416,1.040770833,1.075536843,0.934337076,0.835310232,0.970697539,0.82192915,0.743822062,0.848881633,0.738165275,0,1.420227544,1.178973957,1.312439883,0,0
"scaffold_136739","Pseudomonadota","Undefined",0.788731859,0.855730044,0,0.704856079,0,0,0.752000752,0.784507627,0,0,0,0.879407661,0,0,0,0.685762933,0,0,0,0,0,0,0,0
"scaffold_1382574","Pseudomonadota","GammaPseudomonadota",0.669235299,0,0,0,0.710182963,0.740568092,0.655569491,0.648207879,0,0,0.974409083,0.815899506,0,0,0,0,0,0,0,0,0,0,0,0
