"CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"Acidimicrobiia",0.00500202906031241,0.00555046842999613,0.00439921036813084,0.00369446518280746,0.00347066753094658,0.00420646574952324,0.00503303704934339,0.00457739331613305,0.00483330773374689,0.003954164213166,0.0039067151048185,0.00443281480678183,0.00342914497973604,0.00307096948439105,0.00426563079126917,0.0032009878632785,0.00335406513808303,0.00307820649477577,0.00282303403444787,0.00289871195915453,0.00394903095456024,0.0030870673111395,0.0027681954653101,0.00247772867778362
"Acidithiobacillia",0.000206654239072214,0.000232115110303769,0.000313896640768552,0.000324222394202258,0.000328952372827207,0.000294432905518042,0.000225999159613524,0.000227189813264928,0.000317367536208505,0.00027757515035931,0.000235545257648549,0.00028517686737601,0.000346150961533238,0.000361965133071813,0.00030267187351497,0.000311514725191008,0.000303246686056697,0.000322426204885983,0.000355096141984857,0.00036766144810583,0.000286016219072343,0.000334885797741381,0.00029684672994269,0.000268491933646391
"Actinomycetia",0.522207034362198,0.476285079635072,0.310330746268514,0.404739830507188,0.393224714666816,0.447929402050978,0.468420555824241,0.484328904884666,0.299529374028427,0.402044168871155,0.476420337903621,0.455919986156294,0.325692449138793,0.299486929737957,0.303454451560648,0.318444142287888,0.316616666746101,0.347439320283003,0.322782393064235,0.298302606948335,0.30053672627202,0.302870339201128,0.31507135289464,0.31905367471736
"AlphaPseudomonadota",0.135440392936511,0.159167029488437,0.247408173290531,0.200212780435463,0.19305104332566,0.164317635327338,0.158037533657717,0.15581840998884,0.229762120081516,0.210262077814788,0.176027256296363,0.154205895422033,0.230163548226753,0.260081919539927,0.259322003483097,0.262110780655452,0.286080598497067,0.241124053515717,0.253095661954779,0.253109495442905,0.289959990375442,0.271223352591473,0.301380166365214,0.294948932738587
"Anaerolineae",0.000127393356402181,0.000190587128618172,0.000171965441394984,0.000215458134248499,0.000234465259616581,0.000317631533851723,0.000178738596845813,0.000153098756038464,0.00015439111786456,0.000163322581873684,0.00014414564485159,0.000186432615692413,0.00015963206019804,0.000159773132284784,0.000179937121701697,0.000191580433012206,0.000165698835506891,0.000163950809415308,0.000165921726721004,0.000161788241055734,0.000155734047839855,0.000194618400560066,0.000151101252938199,0.000126571353225645
"Aquificae",8.98655682406488e-05,9.5457985051054e-05,0.000112613480024632,0.000108626234243157,0.000116188573308725,0.000121099757968273,9.49043192875934e-05,8.69630980441497e-05,9.81898651465731e-05,9.85062209058764e-05,7.10374586559115e-05,0.00010335087154809,0.000104169391298807,9.72732359139419e-05,0.000119411608713636,0.000115532209544524,8.42747840803864e-05,9.42394416324212e-05,8.86755071549311e-05,9.87789969759864e-05,0.000112689543933808,0.00010528764885294,7.61203898663022e-05,7.05299380460243e-05
"Ardenticatenia",0.00034830906917281,0.000381644030784824,0.000296102994401987,0.000329950461192208,0.000350504681996797,0.000407799787375088,0.00035449679784141,0.000334058481061626,0.000286345021871233,0.000290025750771205,0.000302786382481553,0.00039855391157035,0.000311595208153222,0.000296839964708975,0.000313128697135163,0.000320902840196764,0.000309839005318799,0.000298565864444331,0.000276273468958252,0.000288881972288262,0.000274408712401049,0.000324991127895506,0.000275024791829821,0.000238223831420538
"Ardenticatenia incertae sedis",0.00034830906917281,0.000381644030784824,0.000296102994401987,0.000329950461192208,0.000350504681996797,0.000407799787375088,0.00035449679784141,0.000334058481061626,0.000286345021871233,0.000290025750771205,0.000302786382481553,0.00039855391157035,0.000311595208153222,0.000296839964708975,0.000313128697135163,0.000320902840196764,0.000309839005318799,0.000298565864444331,0.000276273468958252,0.000288881972288262,0.000274408712401049,0.000324991127895506,0.000275024791829821,0.000238223831420538
"Atribacteria",5.39376248850283e-06,5.3554184526674e-06,1.41513227814622e-05,1.38715839154223e-05,1.34981590300894e-05,1.26935890882407e-05,5.53502086468692e-06,5.2239316846309e-06,1.37797679963229e-05,1.24506004118952e-05,7.13250597031014e-06,8.83387103426258e-06,1.10012372055269e-05,1.23433841027161e-05,1.04125150455304e-05,1.31164094817266e-05,1.2338327267583e-05,1.05501878445365e-05,1.06410608585917e-05,1.34763798486832e-05,1.26352546578143e-05,1.26122200148127e-05,1.07685282071341e-05,7.0290853510275e-06
"Bacilli",0.00667263271649717,0.00719392421199715,0.0127738676538438,0.0124143084628946,0.0119510164486627,0.0110650891502131,0.00735459510832738,0.00659844029788702,0.0120859387135079,0.00994326920541733,0.00797937601386559,0.00911644651630334,0.00982766539093399,0.00964819697240738,0.0110511345321314,0.0114449656570176,0.0101732849023551,0.00961197789090171,0.00954976095053838,0.00988757688525594,0.010881130667879,0.0115315408976319,0.00957419017391743,0.00804811145929789
