TARGET	PFAM	LOCUS	E-VAL	SCORE	BIAS	DESCRIPTION
Phage_integrase	PF00589.22	SAGEDEP_088611	1.20E-30	97.5	0.1	Phage integrase family
DDE_Tnp_1_4	PF13701.6	SAGEDEP_088795	1.10E-55	179.5	0	Transposase DDE domain group 1
Recombinase	PF07508.13	SAGEDEP_088796	1.00E-21	68.3	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_088817	2.40E-28	90	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_088818	1.00E-31	100.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_088850	1.40E-15	48.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_088851	5.30E-36	114.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_089062	1.00E-21	68.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_089107	8.10E-25	78.5	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_089321	4.00E-43	138	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_089321	2.20E-16	51.2	0	Recombinase
Recombinase	PF07508.13	SAGEDEP_089540	4.40E-12	37.3	0	Recombinase
rve	PF00665.26	SAGEDEP_089585	3.60E-19	60.1	0.1	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_089640	1.60E-19	61.4	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_089640	1.20E-16	52	0	Recombinase
Recombinase	PF07508.13	SAGEDEP_089643	7.70E-14	43	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_089645	1.40E-46	149.2	0.8	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_089645	2.40E-20	63.9	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_089720	1.30E-18	58.3	0	Phage integrase family
rve	PF00665.26	SAGEDEP_089727	2.50E-25	79.9	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_089728	3.90E-36	115.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_089729	7.90E-18	55.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_089730	1.20E-31	100.7	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_089733	5.90E-11	33.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_089771	1.00E-23	74.9	0.6	Phage integrase family
DDE_Tnp_IS1595	PF12762.7	SAGEDEP_089882	2.90E-42	135.2	0.2	ISXO2-like transposase domain
Resolvase	PF00239.21	SAGEDEP_089904	7.30E-45	143.6	0.1	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_089962	1.10E-25	81.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_090280	1.10E-32	104.1	0	"Resolvase, N terminal domain"
