sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	Cas	CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_4	Sage1_L_100_16_scaffold_13033_12	Sage1_L_100_16_scaffold_13033_4,Sage1_L_100_16_scaffold_13033_5,Sage1_L_100_16_scaffold_13033_6,Sage1_L_100_16_scaffold_13033_7,Sage1_L_100_16_scaffold_13033_10,Sage1_L_100_16_scaffold_13033_11,Sage1_L_100_16_scaffold_13033_12	7	cas3_I_5,cas5_I-C_11,cas8c_I-C_4,cas7b_I-B_I-C_2,cas4_I_II_III_IV_V_VI_6,cas1_I_II_III_IV_V_VI_6,cas2_I_II_III_IV_V_VI_3
Sage1_L_100_16_scaffold_26730_CAS_Class1-Subtype-I-D_137	Cas	CAS_Class1-Subtype-I-D	Sage1_L_100_16_scaffold_26730_1	Sage1_L_100_16_scaffold_26730_5	Sage1_L_100_16_scaffold_26730_1,Sage1_L_100_16_scaffold_26730_2,Sage1_L_100_16_scaffold_26730_3,Sage1_L_100_16_scaffold_26730_5	4	cas3_I-D_4,csc1gr5_I-D_2,csc2gr7_I-D_1,WYL_I_II_III_IV_V_VI_4
Sage1_L_113_16_scaffold_101480_CAS_Class1-Subtype-I-B_149	Cas	CAS_Class1-Subtype-I-B	Sage1_L_113_16_scaffold_101480_1	Sage1_L_113_16_scaffold_101480_2	Sage1_L_113_16_scaffold_101480_1,Sage1_L_113_16_scaffold_101480_2	2	cas5_I_9,cas7_I-B_6
Sage1_L_113_16_scaffold_48516_CAS_Cluster_4	Cas	CAS_Cluster	Sage1_L_113_16_scaffold_48516_1	Sage1_L_113_16_scaffold_48516_4	Sage1_L_113_16_scaffold_48516_1,Sage1_L_113_16_scaffold_48516_2,Sage1_L_113_16_scaffold_48516_3,Sage1_L_113_16_scaffold_48516_4	4	cas6_I_II_III_IV_V_VI_17,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas4_I_II_III_IV_V_VI_1
Sage1_L_113_16_scaffold_8014_CAS_Class1-Subtype-I-G_80	Cas	CAS_Class1-Subtype-I-G	Sage1_L_113_16_scaffold_8014_2	Sage1_L_113_16_scaffold_8014_6	Sage1_L_113_16_scaffold_8014_2,Sage1_L_113_16_scaffold_8014_3,Sage1_L_113_16_scaffold_8014_4,Sage1_L_113_16_scaffold_8014_5,Sage1_L_113_16_scaffold_8014_6	5	cas8u1_I-G_2,cas3_I-G_3,csb2gr5_I-G_1,csb1gr7_I-G_1,WYL_I_II_III_IV_V_VI_4
Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	Cas	CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_2	Sage1_L_40_16_scaffold_2798_7	Sage1_L_40_16_scaffold_2798_2,Sage1_L_40_16_scaffold_2798_3,Sage1_L_40_16_scaffold_2798_4,Sage1_L_40_16_scaffold_2798_5,Sage1_L_40_16_scaffold_2798_6,Sage1_L_40_16_scaffold_2798_7	6	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,csb2gr5_I-G_1,csb1gr7_I-G_1,cas8u1_I-G_1,cas3_I_2
Sage1_L_40_16_scaffold_28_CAS_Class1-Subtype-III-B_123	Cas	CAS_Class1-Subtype-III-B	Sage1_L_40_16_scaffold_28_78	Sage1_L_40_16_scaffold_28_81	Sage1_L_40_16_scaffold_28_78,Sage1_L_40_16_scaffold_28_79,Sage1_L_40_16_scaffold_28_81	3	cmr3gr5_III-B_III-C_5,cmr4gr7_III-B_III-C_1,cmr6gr7_III-B_3
Sage1_L_40_16_scaffold_3849_CAS_Class1-Type-III_30	Cas	CAS_Class1-Type-III	Sage1_L_40_16_scaffold_3849_24	Sage1_L_40_16_scaffold_3849_27	Sage1_L_40_16_scaffold_3849_24,Sage1_L_40_16_scaffold_3849_25,Sage1_L_40_16_scaffold_3849_26,Sage1_L_40_16_scaffold_3849_27	4	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,cas6_I_II_III_IV_V_VI_22,cmr1gr7_III-B_III-C_3
Sage1_L_40_16_scaffold_60027_CAS_Cluster_32	Cas	CAS_Cluster	Sage1_L_40_16_scaffold_60027_2	Sage1_L_40_16_scaffold_60027_3	Sage1_L_40_16_scaffold_60027_2,Sage1_L_40_16_scaffold_60027_3	2	cas4_I_II_III_IV_V_VI_1,cas1_I_II_III_IV_V_VI_10
Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	Cas	CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_3	Sage1_L_40_16_scaffold_7677_9	Sage1_L_40_16_scaffold_7677_3,Sage1_L_40_16_scaffold_7677_5,Sage1_L_40_16_scaffold_7677_6,Sage1_L_40_16_scaffold_7677_7,Sage1_L_40_16_scaffold_7677_8,Sage1_L_40_16_scaffold_7677_9	6	WYL_I_II_III_IV_V_VI_1,cas8b2_I-B_6,cas7_I-B_6,cas5_I-B_1,cas3_I_5,cas6_I_II_III_IV_V_VI_17
