"NAME","LENGTH","PHAGE","CHECKV_QUALITY","MIUVIG_QUALITY","LIFE_CYCLE","PROVIRUS","HOST_PHYLUM","HOST_CLASS","HOST_ORDER","HOST_FAMILY","HOST_GENUS","HOST_PREDICTION_METHOD","VC_STATUS","CLUSTER","SUBCLUSTER","REF_PHAGES_IN_VC","GARRY_OAK_ENRICHMENT","HILLY_GRASSLAND_ENRICHMENT","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"DNA_vOTU_7499",415894,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",268,1,"NO",NA,"SURFACE",127340,78581,34766,30323,33339,46905,88365,91282,20399,37752,34349,23995,23004,20447,36257,27889,20193,19632,11546,12782,28345,13054,14504,15330
"DNA_vOTU_232",405372,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia",NA,NA,NA,"CRISPR spacer (MAG)","Clustered",256,0,"NO","SUBSURFACE","SURFACE",40496,34494,20550,51771,82768,47181,35301,39486,9866,41564,79071,18240,16744,15442,21746,22557,21097,26516,12829,9487,13546,11427,16800,18685
"DNA_vOTU_5734",397942,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptomycetaceae","Streptomyces","CRISPR spacer (database)","Clustered",261,3,"NO",NA,NA,92772,57729,14702,13445,14135,36362,35785,193499,7392,9430,15241,12506,14538,11774,9205,9057,10662,19166,12814,8626,5397,6126,10600,14703
"DNA_vOTU_2516",375643,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",259,1,"NO",NA,"SURFACE",115620,208020,34569,28910,31010,45939,128656,191434,20935,40544,28427,21748,21732,19408,35091,26133,16602,15960,10130,11683,25114,11143,11334,13160
"DNA_vOTU_1947",365244,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptomycetaceae","Streptomyces","CRISPR spacer (database)","Clustered",253,3,"NO","SUBSURFACE",NA,56605,38380,14481,46157,33883,39620,38959,52615,5908,17110,66719,20376,8515,7888,7388,8660,22983,12390,7443,5154,6161,8351,9574,9739
"DNA_vOTU_5919",350140,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Labilitrichaceae","Labilithrix","WIsH","Outlier",NA,NA,"YES",NA,NA,32191,43819,26900,20688,9332,16092,50121,43553,6367,14809,5836,8182,138076,89043,22462,73323,18011,88034,50219,51194,4521,32619,12626,44051
"DNA_vOTU_5781",313967,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea","WIsH","Outlier",NA,NA,"YES",NA,NA,45018,55009,31645,18549,14167,18802,41596,52998,23329,22347,26602,22165,51460,51065,67522,60534,40885,47584,30088,28498,34521,24983,24261,39425
"DNA_vOTU_2240",301680,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Nocardiaceae","Rhodococcus","WIsH","Clustered",309,0,"NO",NA,"SURFACE",34755,23637,17980,26132,24619,27121,28579,21227,10365,22650,38487,14071,11158,9990,12751,14540,13544,12919,6940,6067,9293,9174,10287,10352
"DNA_vOTU_1828",285365,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",345,2,"NO","SUBSURFACE",NA,37673,23144,11571,18352,13856,24241,21011,48145,5044,11735,35929,11033,7689,6734,5888,6072,8041,10421,6306,4701,3989,4385,6271,8202
"DNA_vOTU_3505",282742,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","CRISPR spacer (database)","Clustered",259,3,"NO",NA,"SURFACE",40543,49400,26849,29446,36280,32067,46405,54379,18322,41223,40888,19321,22208,22756,36691,30738,21229,20378,13283,13684,30309,14509,16398,17628
"DNA_vOTU_1649",280825,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",259,0,"NO",NA,"SURFACE",132478,81352,36166,36262,36350,62003,119031,99753,23120,48754,78173,53031,26649,21460,42288,30002,20097,21157,12178,13307,32942,13001,14276,16589
"DNA_vOTU_7859",277499,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",273,1,"NO",NA,"SUBSURFACE",8915,8479,10658,34485,19115,13799,8571,9426,4886,17168,19644,5256,43573,32569,5815,26000,64766,112960,65502,22583,5506,33448,55105,90885
"DNA_vOTU_5783",270796,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Outlier",NA,NA,"YES",NA,NA,39670,26577,99478,51035,42870,26194,46814,45879,63542,120748,20787,13822,258761,159566,202764,187319,64281,174989,140505,120237,88565,97459,82951,174102
"DNA_vOTU_1946",266117,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Singleton",NA,NA,NA,NA,NA,675,1901,34256,75853,46569,2131,1000,818,10768,46093,44427,795,41332,40534,17525,80191,64567,63912,31142,20779,13203,58300,67048,62064
"DNA_vOTU_2302",251474,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",255,2,"NO","SUBSURFACE",NA,66623,37645,8719,16667,13891,31212,37373,77603,3982,8352,37163,18234,6838,5596,4919,5193,7223,10153,5614,4206,3291,3992,5631,7946
"DNA_vOTU_7807",245819,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Outlier",NA,NA,"YES",NA,NA,24937,19074,8403,9741,13117,13614,19131,16662,4577,12232,10184,8269,52691,31441,6877,4905,6376,30246,14486,9859,4049,2607,5182,22066
"DNA_vOTU_2820",236483,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Micromonosporales","Micromonosporaceae","Plantactinospora","WIsH","Singleton",NA,NA,NA,"SUBSURFACE",NA,73427,34637,8888,7939,9230,23698,23811,153034,3824,4797,9113,9576,5104,4240,4355,3709,4778,6649,4238,2958,2827,2429,3803,5083
"DNA_vOTU_2069",222319,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Actinosynnemataceae","Kibdelosporangium","WIsH","Outlier",NA,NA,"YES",NA,NA,5366,6228,14582,28442,29572,10119,6729,7488,6210,71213,36713,10398,22892,17341,6709,14063,13164,16451,10320,13052,4959,6708,14189,20343
"DNA_vOTU_5634",219155,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Nonomuraea","WIsH","Clustered",433,1,"NO","SUBSURFACE",NA,144619,81857,7234,37799,46715,74529,117374,96703,2939,22212,188251,61021,14515,10184,4178,11186,15556,25657,14370,8404,2954,8039,13384,19313
"DNA_vOTU_7918",197164,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Outlier",NA,NA,"YES",NA,NA,7561,6962,18321,26837,21856,10723,7201,8501,9311,27141,19734,4218,30683,28141,11184,29015,25816,49494,28777,21003,9738,17294,30432,48755
"DNA_vOTU_6016",197136,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",273,0,"NO",NA,NA,3341,3249,4843,6941,7525,4986,2935,3682,2318,5999,5831,1931,13765,5454,2761,4259,6645,36690,4248,2852,2607,2997,9589,33458
"DNA_vOTU_667",196615,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Actinosynnemataceae","Kibdelosporangium","WIsH","Outlier",NA,NA,"YES",NA,NA,12104,16304,10606,20230,29560,17732,17043,21123,5908,24269,25804,9301,22411,19204,13219,13106,14292,31682,15875,12864,8461,5997,18583,26526
"DNA_vOTU_2821",196080,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",253,1,"NO",NA,NA,27663,17665,8763,13340,12391,18759,15610,43471,4151,9988,28842,8070,7755,6403,4698,5669,6638,11194,6257,4606,3083,3767,6351,9164
"DNA_vOTU_3164",193114,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",291,0,"NO","SUBSURFACE",NA,12136,10209,11539,44512,65659,43996,18258,26501,5931,31177,97271,25005,27157,26487,7256,19005,29337,38284,21296,16970,6940,14093,24360,33595
"DNA_vOTU_8635",189291,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",258,0,"NO","SUBSURFACE",NA,179199,95310,4867,6826,7967,48315,93567,131010,1962,3930,9223,49650,3139,2684,2279,2612,3537,4288,2433,1697,1851,1908,2677,3386
"DNA_vOTU_6223",189174,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Myxococcaceae","Anaeromyxobacter","WIsH","Clustered",265,1,"NO","SUBSURFACE",NA,31346,21958,5561,4958,12910,19306,34786,29329,2413,3424,6892,14892,4340,3926,3170,3255,4276,10692,2679,2137,2291,1895,1958,4517
"DNA_vOTU_7917",188382,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Clustered",344,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_10008",188382,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Clustered",344,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_3945",186870,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Clustered",273,0,"NO",NA,NA,14038,13318,25809,32360,27787,15722,12852,17811,13668,36335,27135,7302,33599,32256,17314,35153,31767,50490,30340,23566,15198,21227,34741,49510
"DNA_vOTU_7300",183363,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Outlier",NA,NA,"YES","SUBSURFACE",NA,31101,18022,4808,9262,19440,18042,41224,27398,2208,6734,13081,10867,25945,18278,3529,5031,6365,22635,14261,11098,2008,6689,6239,14483
