replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_4	cas3_I_5	748446	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas3_I_5	accessory	1112	4.5e-58	203.400	0.560	0.362	536	938		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_5	cas5_I-C_11	748447	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas5_I-C_11	mandatory	221	9.8e-80	273.200	0.990	0.941	5	212		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_6	cas8c_I-C_4	748448	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas8c_I-C_4	mandatory	618	1.2e-158	535.400	1.000	0.964	6	601		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_7	cas7b_I-B_I-C_2	748449	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas7b_I-B_I-C_2	accessory	168	3.4e-62	216.400	0.583	0.940	7	164		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_10	cas4_I_II_III_IV_V_VI_6	748452	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas4_I_II_III_IV_V_VI_1	accessory	151	1.5e-23	89.800	0.578	0.636	35	130		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_11	cas1_I_II_III_IV_V_VI_6	748453	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas1_I_II_III_IV_V_VI_6	accessory	329	1.7e-133	451.100	0.994	0.976	6	326		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_13033	Sage1_L_100_16_scaffold_13033_12	cas2_I_II_III_IV_V_VI_3	748454	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-C	Sage1_L_100_16_scaffold_13033_CAS_Class1-Subtype-I-C_1	1	1	1.000	7.000	1	cas2_I_II_III_IV_V_VI_3	accessory	97	5.6e-26	96.600	0.987	0.856	3	85		Sage1_L_100_16_scaffold_13033_CAS_Class1-Type-I_2,Sage1_L_100_16_scaffold_13033_CAS_Cluster_3
Sage1_L_100_16_scaffold_26730	Sage1_L_100_16_scaffold_26730_1	cas3_I-D_4	744795	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_100_16_scaffold_26730_CAS_Class1-Subtype-I-D_137	1	1	0.375	3.000	1	cas3_I-D_4	accessory	248	3.7e-34	124.500	0.555	0.798	28	225		Sage1_L_100_16_scaffold_26730_CAS_Class1-Type-I_138,Sage1_L_100_16_scaffold_26730_CAS_Cluster_139
Sage1_L_100_16_scaffold_26730	Sage1_L_100_16_scaffold_26730_2	csc1gr5_I-D_2	744796	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_100_16_scaffold_26730_CAS_Class1-Subtype-I-D_137	1	1	0.375	3.000	1	csc1gr5_I-D_2	mandatory	291	1.8e-28	105.700	0.943	0.770	17	240		Sage1_L_100_16_scaffold_26730_CAS_Class1-Type-I_138,Sage1_L_100_16_scaffold_26730_CAS_Cluster_139
Sage1_L_100_16_scaffold_26730	Sage1_L_100_16_scaffold_26730_3	csc2gr7_I-D_1	744797	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_100_16_scaffold_26730_CAS_Class1-Subtype-I-D_137	1	1	0.375	3.000	1	csc2gr7_I-D_1	mandatory	293	8.1e-51	179.200	0.909	0.826	26	267		Sage1_L_100_16_scaffold_26730_CAS_Class1-Type-I_138,Sage1_L_100_16_scaffold_26730_CAS_Cluster_139
