"NAME","LOCUS","LENGTH","CHECKV_QUALITY","gene_position","start_position","end_position","strandedness","rank","ko_id","kegg_hit","viral_id","viral_hit","viral_RBH","viral_identity","viral_bitScore","viral_eVal","peptidase_id","peptidase_family","peptidase_hit","peptidase_RBH","peptidase_identity","peptidase_bitScore","peptidase_eVal","pfam_hits","cazy_id","cazy_hits","vogdb_id","vogdb_hits","vogdb_categories","heme_regulatory_motif_count","virsorter_category","auxiliary_score","is_transposon","amg_flags","EC_ANNOTATION","PHROG","PHROG_ANNOTATION"
"DNA_vOTU_10182","SAGEDEP_155905",120372,"Complete",5,3726,5675,-1,"D","","","YP_009834212.1","YP_009834212.1 cobalamin dependent ribonucleotide reductase [Lentibacter virus vB_LenP_ICBM2]",TRUE,0.604,742,7.54e-237,"","","",NA,NA,NA,NA,"Ribonucleotide reductase alpha domain [PF17975.4]; Ribonucleotide reductase, barrel domain [PF02867.18]","","","VOG00106","sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; XhXr","Xh;Xr",0,1,2,FALSE,"VMKEF","","",""
"DNA_vOTU_2855","SAGEDEP_050423",45457,"Medium-quality",74,42568,43887,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Concanavalin A-like lectin/glucanases superfamily [PF13385.9]","","","","","",0,1,2,FALSE,"MKTF","","","Hypothetical protein"
"DNA_vOTU_6976","SAGEDEP_110325",15520,"Low-quality",6,4023,4631,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [PF01832.23]","","","","","",0,2,3,FALSE,"MKTF","","","Hypothetical protein"
"DNA_vOTU_1641","SAGEDEP_026670",45275,"Medium-quality",80,40214,43669,-1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Viral BACON domain [PF19190.3]; Cellulase (glycosyl hydrolase family 5) [PF00150.21]","","","","","",0,2,1,FALSE,"MKEF","","","Hypothetical protein"
"DNA_vOTU_1349","SAGEDEP_021794",63485,"Medium-quality",4,4001,5227,1,"C","K02261","cytochrome c oxidase subunit 2","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Cytochrome C oxidase subunit II, periplasmic domain [PF00116.23]; Cytochrome C and Quinol oxidase polypeptide I [PF00115.23]; Cytochrome C oxidase subunit II, transmembrane domain [PF02790.18]; LAGLIDADG endonuclease [PF00961.22]","","","","","",0,2,3,FALSE,"MKF","","","Hypothetical protein"
"DNA_vOTU_4455","SAGEDEP_068702",60673,"Medium-quality",94,57797,58084,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Asparagine synthase [PF00733.24]","","","","","",0,2,2,FALSE,"MKF","","phrog_16728","Hypothetical protein"
"DNA_vOTU_232","SAGEDEP_003605",405372,"High-quality",370,402974,404962,1,"C","K05341","amylosucrase [EC:2.4.1.4]","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Alpha amylase, catalytic domain [PF00128.27]; Maltogenic Amylase, C-terminal domain [PF16657.8]; Glycogen debranching enzyme, glucanotransferase domain [PF14701.9]","GH13; GH13_10; GH13_16; GH13_17; GH13_18; GH13_1; GH13_20; GH13_21; GH13_23; GH13_29; GH13_2; GH13_30; GH13_31; GH13_35; GH13_36; GH13_40; GH13_4","GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329); [retaining] glucosylglycerol phosphorylase (EC 2.4.1.359); ; Glucosylglycerate phosphorylase (EC 2.4.1.352); [retaining] sucrose alpha-glucosidase (EC 3.2.1.48); oligosaccharide alpha-4-glucosyltransferase (EC 2.4.1.161)","","","",0,2,3,FALSE,"MTF","","",""
"DNA_vOTU_143","SAGEDEP_002018",35220,"Low-quality",64,31826,32731,1,"D","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"Glycosyl transferase family 2 [PF00535.29]","GT27; GT2_Glycos_transf_2","GT27 polypeptide alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.41)","","","",0,2,2,FALSE,"MF","","","Hypothetical protein"
"DNA_vOTU_285","SAGEDEP_004327",11679,"Low-quality",3,665,1105,1,"C","K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]","YP_010059235.1","YP_010059235.1 QueD-like queosine biosynthesis protein [Rhodococcus phage Finch]",FALSE,0.378,94,6.61e-22,"","","",NA,NA,NA,NA,"6-pyruvoyl tetrahydropterin synthase [PF01242.22]","","","VOG00922","sp|Q1RHI6|QUED_RICBR 6-carboxy-5,6,7,8-tetrahydropterin synthase; Xh","Xh",0,1,2,FALSE,"MKF","","phrog_2389","QueD-like 6-pyruvoyl-tetrahydropterin synthase"
"DNA_vOTU_285","SAGEDEP_004329",11679,"Low-quality",5,1848,2522,1,"C","K01495","GTP cyclohydrolase IA [EC:3.5.4.16]","YP_009600207.1","YP_009600207.1 putative GTP cyclohydrolase [Dinoroseobacter phage vB_DshS-R5C]",FALSE,0.425,133,5.37e-34,"","","",NA,NA,NA,NA,"GTP cyclohydrolase I [PF01227.25]","","","VOG06341","sp|A4J5D0|GCH1_DESRM GTP cyclohydrolase 1; Xh","Xh",0,1,2,FALSE,"MKF","","phrog_2197","GTP cyclohydrolase"
"DNA_vOTU_285","SAGEDEP_004338",11679,"Low-quality",14,6341,7369,1,"D","","","YP_009985295.1","YP_009985295.1 putative dTDP-glucose 4,6-dehydratase [Escherichia phage alia]",FALSE,0.291,148,1.61e-37,"","","",NA,NA,NA,NA,"GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Male sterility protein [PF07993.15]","","","VOG00276","sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2; Xh","Xh",0,1,2,FALSE,"MKF","","",""
