Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
AB231700,,Singleton,,,,,,,
AB609718,preVC_0,Clustered,VC_0_0,14,0.4121,1,6.211977897,0.4121,1
AB797215,preVC_5,Clustered,VC_5_0,6,0.0516,1,7.965947265,0.0516,0.8
AF009630,preVC_8,Clustered,VC_8_0,61,0.6838,1,8.480850219,0.6838,0.7645
AF011378,preVC_8,Clustered,VC_8_0,61,0.6838,1,8.480850219,0.6838,0.7645
AF022214,preVC_12,Clustered,VC_12_1,12,0.2805,1,3.80518387,0.2805,1
AF063097,preVC_23,Clustered,VC_23_0,35,0.9559,1,4.746184309,0.9559,1
AF064539,,Outlier,,,,,,,
AF068845,,Overlap (VC_36/VC_37),,,,,,,
AF069308,,Overlap (VC_26/VC_28/VC_41),,,,,,,
AF069529,,Overlap (VC_26/VC_28/VC_41),,,,,,,
AF083977,preVC_51,Clustered,VC_51_0,7,0.8414,1,3.208675829,0.8414,1
AF115102,preVC_54,Clustered,VC_54_0,65,0.6642,1,7.26093196,0.6642,0.9995
AF115103,preVC_54,Clustered,VC_54_0,65,0.6642,1,7.26093196,0.6642,0.9995
AF125163,preVC_65,Clustered,VC_65_0,10,0.8844,1,5.470418946,0.8844,1
AF145054,preVC_54,Clustered,VC_54_0,65,0.6642,1,7.26093196,0.6642,0.9995
AF155037,preVC_68,Clustered,VC_68_0,2,1,1,3.16227766,1,1
AF157835,preVC_69,Clustered,VC_69_0,9,0.7035,1,2.102469227,0.7035,1
AF158101,preVC_75,Clustered,VC_75_108,3,0.0091,0.99788305,5.702845671,0.0091,1
AF158600,preVC_55,Clustered,VC_55_0,31,0.5469,1,6.081693022,0.5469,1
AF189021,preVC_85,Clustered,VC_85_0,6,0.6458,1,6.220831507,0.6458,1
AF222060,preVC_87,Clustered,VC_87_0,31,0.9036,1,4.613829529,0.9036,1
AF234172,preVC_89,Clustered,VC_89_0,7,0.9959,0.99986634,7.545095865,0.9958,0.9048
AF246223,,Singleton,,,,,,,
AF271693,preVC_90,Clustered,VC_90_12,2,0.0049,0.95743015,8.246211251,0.0047,1
AF424781,preVC_92,Clustered,VC_92_0,12,0.4401,1,7.160110213,0.4401,1
AF424782,preVC_91,Clustered,VC_91_0,21,0.8411,1,5.970370154,0.8411,1
AF447491,preVC_98,Clustered,VC_98_0,4,0.7663,0.99996199,6.032622861,0.7663,1
AF543311,,Overlap (VC_103/VC_105),,,,,,,
AF547430,preVC_106,Clustered,VC_106_5,61,0.2105,1,8.626810116,0.2105,0.6607
AF547987,preVC_40,Clustered,VC_40_0,8,0.1774,1,8.294917994,0.1774,0.8571
AP014858,,Outlier,,,,,,,
AP014887,preVC_112,Clustered,VC_112_0,2,0.4029,0.89435023,5.916079783,0.3603,1
AP014888,,Singleton,,,,,,,
AP017903,,Outlier,,,,,,,
AP018813,preVC_75,Clustered,VC_75_109,2,0.0041,0.93544001,3.31662479,0.0039,1
AP018814,preVC_75,Clustered,VC_75_107,2,0.004,0.95085167,2.449489743,0.0038,1
AP018815,preVC_119,Clustered,VC_119_0,59,0.7924,1,7.621625637,0.7924,0.9287
AP018932,preVC_75,Clustered/Singleton,VC_75_65,1,0,1,0,0,1
AP019415,,Outlier,,,,,,,
AP019417,preVC_126,Clustered,VC_126_0,8,0.7926,1,3.817246968,0.7926,1
AP019418,preVC_129,Clustered,VC_129_0,10,0.4675,1,4.357078893,0.4675,1
AP019522,preVC_135,Clustered,VC_135_0,14,0.3709,1,5.140399187,0.3709,1
AP019524,preVC_139,Clustered,VC_139_0,2,0.9384,0.72985431,1.414213562,0.6849,1
AP019525,preVC_139,Clustered,VC_139_0,2,0.9384,0.72985431,1.414213562,0.6849,1
AP019527,preVC_141,Clustered,VC_141_0,2,1,1,3.605551275,1,1
AP019535,preVC_119,Clustered,VC_119_1,3,0.0183,0.97257568,7.642240804,0.0178,0.6667
AP019559,preVC_145,Clustered/Singleton,VC_145_4,1,0,1,0,0,1
AP019560,preVC_93,Clustered,VC_93_0,8,0.6133,1,6.131735254,0.6133,1
AP019561,preVC_93,Clustered,VC_93_0,8,0.6133,1,6.131735254,0.6133,1
AP019562,preVC_93,Clustered,VC_93_0,8,0.6133,1,6.131735254,0.6133,1
AY029185,,Outlier,,,,,,,
AY052766,preVC_49,Clustered,VC_49_0,21,0.6196,1,6.644596371,0.6196,1
AY078382,preVC_125,Clustered,VC_125_0,28,0.9122,1,3.804705222,0.9122,1
AY095314,,Singleton,,,,,,,
AY129330,preVC_153,Clustered/Singleton,VC_153_89,1,0,1,0,0,1
AY129331,preVC_159,Clustered,VC_159_6,26,0.1595,1,7.718989113,0.1595,0.9138
AY129332,preVC_160,Clustered,VC_160_0,74,0.943,1,5.364094199,0.943,1
AY129333,preVC_164,Clustered,VC_164_1,2,0.0438,0.95698765,7.745966692,0.0419,1
AY129334,preVC_173,Clustered,VC_173_0,30,0.9225,1,1.070945327,0.9225,1
AY129335,preVC_176,Clustered,VC_176_0,20,0.9894,1,3.683169844,0.9894,1
AY129336,,Overlap (VC_153/VC_158),,,,,,,
AY129337,preVC_178,Clustered,VC_178_9,2,0.0035,0.65561933,5.567764363,0.0023,1
AY129338,preVC_154,Clustered/Singleton,VC_154_10,1,0,1,0,0,1
AY135486,preVC_23,Clustered,VC_23_0,35,0.9559,1,4.746184309,0.9559,1
AY135739,preVC_23,Clustered,VC_23_0,35,0.9559,1,4.746184309,0.9559,1
AY190604,preVC_87,Clustered,VC_87_0,31,0.9036,1,4.613829529,0.9036,1
AY212251,preVC_186,Clustered,VC_186_0,3,0.0614,0.78296259,3.450628599,0.0481,1
AY216660,preVC_189,Clustered,VC_189_0,17,0.859,1,4.058665191,0.859,1
AY236756,preVC_192,Clustered,VC_192_0,6,0.9621,0.99999606,6.057857004,0.9621,1
AY266303,preVC_194,Clustered,VC_194_0,5,0.3047,0.99999928,7.280785276,0.3047,0.8
AY288927,preVC_195,Clustered,VC_195_0,31,0.999,1,4.969338336,0.999,1
AY299121,,Overlap (VC_198/VC_201),,,,,,,
AY308796,preVC_201,Clustered,VC_201_0,20,0.7868,1,4.460714448,0.7868,1
AY349011,,Overlap (VC_204/VC_206),,,,,,,
AY368235,,Overlap (VC_103/VC_105),,,,,,,
AY369265,,Overlap (VC_103/VC_105),,,,,,,
AY370674,preVC_195,Clustered,VC_195_0,31,0.999,1,4.969338336,0.999,1
AY375531,preVC_206,Clustered/Singleton,VC_206_1,1,0,1,0,0,1
AY394005,preVC_209,Clustered,VC_209_0,28,0.919,1,2.96844106,0.919,1
AY453853,preVC_98,Clustered,VC_98_0,4,0.7663,0.99996199,6.032622861,0.7663,1
AY500152,preVC_90,Clustered,VC_90_44,11,0.0506,1,8.479318724,0.0506,0.7273
AY500153,preVC_90,Clustered,VC_90_36,2,0.006,0.95743048,7.348469228,0.0057,1
AY539836,,Outlier,,,,,,,
AY543070,preVC_145,Clustered,VC_145_0,2,0.0124,0.95081666,8.774964387,0.0118,1
AY605181,preVC_71,Clustered,VC_71_0,2,0.1082,0.94302551,8.774964387,0.102,1
AY625898,preVC_211,Clustered,VC_211_0,17,0.8492,1,2.759510042,0.8492,1
AY682195,preVC_214,Clustered/Singleton,VC_214_1,1,0,1,0,0,1
AY699705,preVC_55,Clustered,VC_55_0,31,0.5469,1,6.081693022,0.5469,1
AY739900,preVC_220,Clustered,VC_220_0,3,1,1,2.816496581,1,1
AY855346,,Overlap (VC_223/VC_2368),,,,,,,
AY939843,preVC_223,Clustered,VC_223_0,6,0.996,0.98477497,7.03690631,0.9808,1
AY954950,,Outlier,,,,,,,
AY954951,preVC_92,Clustered,VC_92_0,12,0.4401,1,7.160110213,0.4401,1
AY954952,preVC_92,Clustered,VC_92_0,12,0.4401,1,7.160110213,0.4401,1
AY954953,preVC_92,Clustered,VC_92_0,12,0.4401,1,7.160110213,0.4401,1
AY954955,preVC_91,Clustered,VC_91_0,21,0.8411,1,5.970370154,0.8411,1
AY954965,preVC_94,Clustered,VC_94_0,10,0.2681,1,7.957749434,0.2681,0.9333
AY954966,preVC_94,Clustered,VC_94_0,10,0.2681,1,7.957749434,0.2681,0.9333
AY954967,preVC_94,Clustered,VC_94_0,10,0.2681,1,7.957749434,0.2681,0.9333
AY954968,preVC_94,Clustered,VC_94_0,10,0.2681,1,7.957749434,0.2681,0.9333
AY954969,preVC_134,Clustered,VC_134_8,35,0.3856,1,6.155714737,0.3856,1
AY954970,,Outlier,,,,,,,
AY967407,preVC_226,Clustered,VC_226_3,18,0.4389,1,6.724992622,0.4389,1
B1U32222,preVC_23,Clustered,VC_23_0,35,0.9559,1,4.746184309,0.9559,1
C2PVCG,preVC_227,Clustered,VC_227_0,41,1,1,2.62311921,1,1
CAJCJZ010000002,preVC_215,Clustered,VC_215_0,5,0.6315,0.99999979,5.629029576,0.6315,1
CAJDJX010000002,preVC_229,Clustered,VC_229_0,29,0.8189,1,5.54234333,0.8189,1
CAJDJY010000002,preVC_0,Clustered,VC_0_0,14,0.4121,1,6.211977897,0.4121,1
CAJDJZ010000002,preVC_0,Clustered,VC_0_0,14,0.4121,1,6.211977897,0.4121,1
CAJDKA010000002,preVC_0,Clustered,VC_0_1,13,0.3756,1,6.742661715,0.3756,1
CAJDKB010000002,,Overlap (VC_229/VC_230),,,,,,,
CAJDKF010000002,preVC_229,Clustered,VC_229_0,29,0.8189,1,5.54234333,0.8189,1
CAKLQA010000001,preVC_231,Clustered,VC_231_1,4,0.2591,0.99992402,7.66232935,0.2591,1
CAKLQA010000002,preVC_237,Clustered,VC_237_0,2,0.9029,0.91237788,2.645751311,0.8238,1
CAKLQA010000003,preVC_240,Clustered,VC_240_0,3,0.3046,0.99129368,6.036967835,0.3019,1
CAKLQB010000001,preVC_242,Clustered,VC_242_0,47,0.9508,1,4.176040589,0.9508,1
CAKLQB010000002,,Outlier,,,,,,,
CAKLQC010000001,preVC_243,Clustered,VC_243_0,21,0.9052,1,6.254503543,0.9052,0.8857
CAKLQD010000001,preVC_243,Clustered,VC_243_0,21,0.9052,1,6.254503543,0.9052,0.8857
CAKLQE010000001,preVC_244,Clustered,VC_244_1,2,0.1158,0.94821906,1.414213562,0.1098,1
CAKLQF010000001,preVC_230,Clustered,VC_230_0,2,0.3303,0.95458403,6.164414003,0.3153,1
CAKLQF010000002,,Overlap (VC_240/VC_241),,,,,,,
CAKLQF010000003,preVC_275,Clustered,VC_275_0,2,0.7836,0.94377239,0,0.7396,1
CAKLQF010000004,,Overlap (VC_272/VC_279),,,,,,,
CAKLQF010000005,preVC_280,Clustered,VC_280_0,2,0.652,0.9460874,0,0.6168,1
CAKLQF010000006,,Overlap (VC_45/VC_233),,,,,,,
CAKLQF010000007,preVC_283,Clustered,VC_283_0,2,0.8706,0.93722274,1.414213562,0.8159,1
