contig	source	pi	num_snps	contig_len	theta	snps_present
DNA_vOTU_10000	Sage1_L_40_16_sorted	8.05031446540881e-05	1	6629	5.15346644750801e-05	TRUE
DNA_vOTU_10000	Sage1_R_40_16_sorted	0.000140795494544175	5	6629	0.00033033353777309	TRUE
DNA_vOTU_10001	Sage1_L_40_16_sorted	0.00106078273280846	17	8095	0.000743168187044677	TRUE
DNA_vOTU_10001	Sage1_R_40_16_sorted	0.000905276344415384	15	8095	0.000655898866363833	TRUE
DNA_vOTU_10002	Sage1_L_40_16_sorted	8.57206535342626e-05	1	6486	5.26797025377882e-05	TRUE
DNA_vOTU_10002	Sage1_R_60_16_sorted	0.000435125226984616	6	6486	0.00031583455332785	TRUE
DNA_vOTU_10003	Sage1_L_40_16_sorted	0.000291855514352424	4	6472	0.000211011836926703	TRUE
DNA_vOTU_10007	Sage1_L_40_16_sorted	0.000715188111603606	8	5189	0.00052637063348993	TRUE
DNA_vOTU_10009	Sage2_L_100_16_sorted	8.4125294109915e-05	2	8455	8.07801140772283e-05	TRUE
DNA_vOTU_10009	Sage2_R_80_16_sorted	0.000194493724949077	4	8455	0.000161522011660511	TRUE
DNA_vOTU_10012	Sage1_L_60_16_sorted	8.62301266504985e-05	1	6185	5.52008330068562e-05	TRUE
DNA_vOTU_10018	Sage1_L_40_16_sorted	0.000136542072025943	4	5874	0.000298997238013014	TRUE
DNA_vOTU_10018	Sage2_L_80_16_sorted	0.00129174440929126	15	5874	0.000940213607577226	TRUE
DNA_vOTU_10019	Sage2_L_115_16_sorted	0.000901630969526217	14	7219	0.000662302913961989	TRUE
DNA_vOTU_10019	Sage2_R_115_16_sorted	0.000805312421614057	11	7219	0.000538999637672466	TRUE
DNA_vOTU_1002	Sage1_R_60_16_sorted	0.000877685234410381	21	11286	0.000657735336696732	TRUE
DNA_vOTU_10021	Sage2_L_60_16_sorted	0.000347859450293527	4	5916	0.000248774121094357	TRUE
DNA_vOTU_10024	Sage2_R_80_16_sorted	9.39049798984652e-05	2	11359	6.01139452676126e-05	TRUE
DNA_vOTU_10025	Sage2_L_100_16_sorted	0.000227221086116792	4	8323	0.000164281078863181	TRUE
DNA_vOTU_10025	Sage2_L_115_16_sorted	0.000248576697939219	5	8323	0.000205326649114389	TRUE
DNA_vOTU_10025	Sage2_L_20_16_sorted	0.000192492781520693	3	8323	0.000123225632391989	TRUE
DNA_vOTU_10025	Sage2_L_40_16_sorted	0.000195452739966696	3	8323	0.000127581483053061	TRUE
DNA_vOTU_10025	Sage2_L_60_16_sorted	0.000240587032358956	4	8323	0.000164281078863181	TRUE
DNA_vOTU_10025	Sage2_L_80_16_sorted	0.000191156026093466	3	8323	0.000127581483053061	TRUE
DNA_vOTU_10025	Sage2_R_100_16_sorted	0.000336295356742795	5	8323	0.000205326649114389	TRUE
